id,formula_name,formula_in_latex,unicode_dec,unicodexml_description,formula_type
184,\cdot,\cdot,8901,DOT OPERATOR,single symbol
185,\leq,\leq,8804,LESS-THAN OR EQUAL TO,single symbol
186,\geq,\geq,8805,GREATER-THAN OR EQUAL TO,single symbol
187,<,<,60,LESS-THAN SIGN,single symbol
188,>,>,62,GREATER-THAN SIGN,single symbol
189,\subset,\subset,8834,SUBSET OF,single symbol
190,\supset,\supset,8835,SUPERSET OF,single symbol
191,\subseteq,\subseteq,8838,SUBSET OF OR EQUAL TO,single symbol
192,\supseteq,\supseteq,8839,SUPERSET OF OR EQUAL TO,single symbol
193,\cong,\cong,8773,APPROXIMATELY EQUAL TO,single symbol
194,\propto,\propto,8733,PROPORTIONAL TO,single symbol
195,-,-,8722,MINUS SIGN,single symbol
196,+,+,43,PLUS SIGN,single symbol
197,Set of real numbers,\mathbb{R},8477,DOUBLE-STRUCK CAPITAL R,single symbol
254,\$,\$,36,DOLLAR SIGN,single symbol
255,\_,\_,95,LOW LINE,single symbol
256,\ddag,\ddag,8225,DOUBLE DAGGER,single symbol
257,\{,\{,123,LEFT CURLY BRACKET,single symbol
258,\P,\P,182,PILCROW SIGN,single symbol
259,\copyright,\copyright,169,COPYRIGHT SIGN,single symbol
260,\dots,\dots,8230,HORIZONTAL ELLIPSIS,single symbol
261,\},\},125,RIGHT CURLY BRACKET,single symbol
262,\S,\S,167,SECTION SIGN,single symbol
263,\dag,\dag,8224,DAGGER,single symbol
264,Pound sign,\pounds,163,POUND SIGN,single symbol
265,\&,\&,38,AMPERSAND,single symbol
266,\#,\#,35,NUMBER SIGN,single symbol
267,\%,\%,37,PERCENT SIGN,single symbol
268,\checkmark,\checkmark,10004,CHECK MARK,single symbol
269,\circledR,\circledR,174,REGISTERED SIGN,single symbol
270,\maltese,\maltese,10016,MALTESE CROSS,single symbol
271,\textbabygamma,\textbabygamma,612,,single symbol
272,\textglotstop,\textglotstop,660,,single symbol
273,\textrtailn,\textrtailn,627,,single symbol
274,\textbarb,\textbarb,0,,single symbol
275,\texthalflength,\texthalflength,0,,single symbol
276,\textrtailr,\textrtailr,637,,single symbol
277,\textbarc,\textbarc,0,,single symbol
278,\texthardsign,\texthardsign,0,,single symbol
279,\textrtails,\textrtails,642,,single symbol
280,\textbard,\textbard,0,,single symbol
281,\texthooktop,\texthooktop,0,,single symbol
282,\textrtailt,\textrtailt,648,,single symbol
283,\textbardotlessj,\textbardotlessj,584,,single symbol
284,\texthtb,\texthtb,0,,single symbol
285,\textrtailz,\textrtailz,656,,single symbol
286,\textbarg,\textbarg,0,,single symbol
287,\texthtbardotlessj,\texthtbardotlessj,0,,single symbol
288,\textrthook,\textrthook,0,,single symbol
289,\textbarglotstop,\textbarglotstop,673,,single symbol
290,\texthtc,\texthtc,0,,single symbol
291,\textsca,\textsca,7424,,single symbol
292,\textbari,\textbari,616,,single symbol
293,\texthtd,\texthtd,599,,single symbol
294,\textscb,\textscb,665,,single symbol
295,\textbarl,\textbarl,410,,single symbol
296,\texthtg,\texthtg,608,,single symbol
297,\textsce,\textsce,7431,,single symbol
298,\textbaro,\textbaro,629,,single symbol
299,\texthth,\texthth,0,,single symbol
300,\textscg,\textscg,610,,single symbol
301,\textbarrevglotstop,\textbarrevglotstop,674,,single symbol
302,\texththeng,\texththeng,615,,single symbol
303,\textsch,\textsch,668,,single symbol
304,\textbaru,\textbaru,0,,single symbol
305,\texthtk,\texthtk,409,,single symbol
306,\textschwa,\textschwa,0,,single symbol
307,\textbeltl,\textbeltl,620,,single symbol
308,\texthtp,\texthtp,0,,single symbol
309,\textsci,\textsci,0,,single symbol
310,\textbeta,\textbeta,946,,single symbol
311,\texthtq,\texthtq,672,,single symbol
312,\textscj,\textscj,567,,single symbol
313,\textbullseye,\textbullseye,664,,single symbol
314,\texthtrtaild,\texthtrtaild,0,,single symbol
315,\textscl,\textscl,671,,single symbol
316,\textceltpal,\textceltpal,697,,single symbol
317,\texthtscg,\texthtscg,0,,single symbol
318,\textscn,\textscn,628,,single symbol
319,\textchi,\textchi,0,,single symbol
